=== local docker images from vouch builds (FROM scratch + GAR-tagged) ===
us-central1-docker.pkg.dev/cancbhm-d-canest3bhm100001/cancbhm-canest3bhm100001-gar/rbi_hm/k260527004912-12d64f4e1/vouch:k260527004912-12d64f4e1 e785fc9fc73b 973MB
us-central1-docker.pkg.dev/cancbhm-d-canest3bhm100001/cancbhm-canest3bhm100001-gar/rbi_hm/k260529152748-f964fc2be/image:k260529152748-f964fc2be e785fc9fc73b 973MB
us-central1-docker.pkg.dev/cancbhm-d-canest3bhm100001/cancbhm-canest3bhm100001-gar/rbi_hm/k260524151918-744eb9e29/image:k260524151918-744eb9e29 e785fc9fc73b 973MB
us-central1-docker.pkg.dev/cancbhm-d-canest3bhm100001/cancbhm-canest3bhm100001-gar/rbi_hm/k260603133209-ec2896c38/vouch:k260603133209-ec2896c38 e785fc9fc73b 973MB
us-central1-docker.pkg.dev/cancbhm-d-canest3bhm100001/cancbhm-canest3bhm100001-gar/rbi_hm/k260529134650-1cc64f36e/image:k260529134650-1cc64f36e e785fc9fc73b 973MB
us-central1-docker.pkg.dev/cancbhm-d-canest3bhm100001/cancbhm-canest3bhm100001-gar/rbi_hm/k260529134650-1cc64f36e/vouch:k260529134650-1cc64f36e e785fc9fc73b 973MB
us-central1-docker.pkg.dev/cancbhm-d-canest3bhm100001/cancbhm-canest3bhm100001-gar/rbi_hm/k260529152748-f964fc2be/vouch:k260529152748-f964fc2be e785fc9fc73b 973MB
us-central1-docker.pkg.dev/cancbhm-d-canest3bhm100001/cancbhm-canest3bhm100001-gar/rbi_hm/b260524160829-r260524160833/image:b260524160829-r260524160833 50a4ad3b6675 532MB
us-central1-docker.pkg.dev/cancbhm-d-canest3bhm100001/cancbhm-canest3bhm100001-gar/rbi_hm/b260529161822-r260529161833/image:b260529161822-r260529161833 50a4ad3b6675 532MB
us-central1-docker.pkg.dev/cancbhm-d-canest3bhm100001/cancbhm-canest3bhm100001-gar/rbi_hm/b260603142303-r260603142307/image:b260603142303-r260603142307 50a4ad3b6675 532MB
us-central1-docker.pkg.dev/cancbhm-d-canest3bhm100001/cancbhm-canest3bhm100001-gar/rbi_hm/b260605083827-r260605083830/image:b260605083827-r260605083830 50a4ad3b6675 532MB
busybox:<none> 925ff61909ae 4.42MB
=== remove any GAR-tagged vouch images built this session ===
Deleted: sha256:1ac18641c7b53386aca1a29f25bb0d0a63ba85a04ba9f90698fed22fafd28b3e
Deleted: sha256:0de7afc42d14def7e1f1b35a53d2863b3e50d05f7a0bbabb4ca2171e99a70aba
=== prune dangling FROM-scratch layers left by the builds ===

Total reclaimed space: 1.424kB
=== residue recheck ===
